Season,Team,GP,G,A,SecA,PriA,Pts,Hat,+/-,MajorPIM,DblMinorPn,DblMinorPIM,MatchPn,BSA,MiscPn,FGT,MajorPn,MinorPIM,Sh,MinorPn,PIMDr,PnDr,ShMiss,ShAtt,BS,MiscPIM,Sh%,Pn,PIM,PPG,PPSecA,SHPriA,OTG,PPA,PPPriA,SHSecA,PPPts,SHG,SHA,SHPts,GWG,GTG,HtRec,Ht,TK,GV,FO,F/O W,F/O L,F/O %,S/O Att,S/O M,S/O G,S/O G%,Shifts,EVShifts,PPShifts,SHShifts,TOI,EVTOI,PPTOI,SHTOI
2018/2019 Regular,WSH,81,51,38,6,11,89,0,6,0,0,0,0,89,0,0,0,14,338,7,16,8,75,311,41,0,15.1,20,40,18,2,0,0,10,3,0,28,0,0,0,5,0,30,223,18,33,5,1,4,20,0,0,0,0,795,222,70,0,48259,38254,9977,28
2017-2018 Regular,WSH,82,49,38,0,0,87,1,3,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,18,0,13.8,16,32,17,0,0,0,14,0,0,31,0,0,0,7,0,0,139,0,0,8,3,5,37.5,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Regular,WSH,82,33,36,0,0,69,0,6,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,10.5,26,52,17,0,0,0,9,0,0,26,0,0,0,7,0,0,216,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016 Regular,WSH,79,50,21,0,0,71,0,21,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,12.6,25,53,19,0,0,0,5,0,0,24,0,0,0,8,0,0,225,0,0,0,0,0,0,2,0,2,100,0,0,0,0,0,0,0,0
2014/2015 Regular,WSH,81,53,28,0,0,81,0,10,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,13.4,30,60,25,0,0,0,9,0,0,34,0,0,0,12,0,0,259,0,0,5,2,3,40,8,1,2,25,0,0,0,0,0,0,0,0
2013/2014 Regular Season,WSH,78,51,28,0,0,79,1,-40,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,13.2,24,48,24,0,0,0,15,0,0,39,0,1,1,11,5,0,204,0,0,3,2,1,66.7,16,3,2,12.5,0,0,0,0,0,0,0,0
2012-2013 Regular,WSH,48,32,24,0,0,56,2,-1,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,14.6,19,46,16,0,0,0,11,0,0,27,0,0,0,6,5,0,120,0,0,1,0,1,0,3,0,3,100,0,0,0,0,0,0,0,0
2011/2012 Regular,WSH,78,38,27,0,0,65,0,-15,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,12.5,15,30,13,0,0,0,10,0,0,0,0,0,0,4,3,0,215,0,0,15,6,9,40,8,2,3,37.5,0,0,0,0,0,0,0,0
2010/2011 Regular,WSH,79,32,53,0,0,85,1,21,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,8.7,26,55,6,0,0,0,17,0,0,23,0,0,0,14,6,0,241,0,0,18,6,12,33.3,10,1,4,40,0,0,0,0,0,0,0,0
2009/2010 Regular,WSH,72,50,59,0,0,109,1,37,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,13.6,30,93,11,0,0,0,23,0,0,34,0,0,0,8,6,0,185,0,0,22,10,12,45.5,9,1,2,22.2,0,0,0,0,0,0,0,0
2008/2009 Regular Season,WSH,79,56,54,0,0,110,3,1,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,10.6,40,80,19,0,0,0,27,0,0,46,1,0,1,12,4,0,243,0,0,32,8,24,25,7,1,2,28.6,0,0,0,0,0,0,0,0
2007/2008 Regular Season,WSH,82,65,47,0,0,112,2,24,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,14.6,27,54,22,0,0,0,15,0,0,37,0,0,0,11,7,0,220,0,0,18,7,11,38.9,6,1,1,16.7,0,0,0,0,0,0,0,0